#Vmag,logL,Prob
8.88,2.65,1
8.88,2.65,28
8.88,2.65,72
9.03,2.54,0
9.03,2.54,13
9.03,2.54,87
9.03,2.67,0
9.03,2.67,27
9.03,2.67,73
9.43,2.56,100
9.47,2.4,100
9.56,2.47,100
9.58,2.84,100
9.61,2.36,100
9.66,2.38,100
9.69,2.39,100
9.79,2.53,100
9.86,2.41,100
9.88,2.4,47
9.88,2.4,41
9.88,2.4,12
9.92,2.44,100
9.96,2.25,100
10.07,2.25,100
10.37,2.06,100
10.42,2.02,100
10.46,2.06,0
10.46,2.06,7
10.46,2.06,93
10.51,2.27,100
10.53,2.08,100
10.63,1.96,100
10.64,1.98,100
10.7,2.05,100
10.74,2.01,100
10.85,1.95,100
10.96,1.82,100
10.99,1.82,35
10.99,1.82,49
10.99,1.82,16
11.04,1.79,35
11.04,1.79,48
11.04,1.79,17
11.06,1.78,100
11.07,1.83,100
11.08,1.86,100
11.15,1.76,100
11.17,1.74,35
11.17,1.74,47
11.17,1.74,17
11.18,1.84,100
11.18,1.76,100
11.21,1.73,100
11.23,1.66,100
11.24,1.7,36
11.24,1.7,46
11.24,1.7,18
11.29,1.73,100
11.32,1.62,100
11.36,1.6,100
11.38,1.68,100
11.48,1.58,38
11.48,1.58,41
11.48,1.58,21
11.5,1.56,100
11.51,1.61,100
11.55,1.53,100
11.57,1.54,39
11.57,1.54,39
11.57,1.54,22
11.58,1.5,100
11.8,1.47,100
11.86,1.4,41
11.86,1.4,32
11.86,1.4,27
11.92,1.39,100
11.98,1.36,100
12.2,1.28,100
12.29,1.21,100
12.35,1.19,100
12.39,1.17,100
12.4,1.17,44
12.4,1.17,23
12.4,1.17,33
12.43,1.15,100
12.45,1.15,100
12.46,1.14,100
12.52,1.12,100
12.53,1.16,100
12.63,1.08,100
12.69,1.05,100
12.7,1.05,100
12.74,1.03,100
12.81,1,100
12.81,1,45
12.81,1,17
12.81,1,38
12.87,0.98,100
12.92,0.97,100
12.94,0.95,100
12.97,0.94,100
13.1,0.89,100
13.14,0.87,100
13.29,0.81,100
13.32,0.8,100
13.34,0.79,100
13.38,0.78,100
13.46,0.74,100
